GROUP	OVERALL_INDEX	GO_LABEL	AUC	RECALL	ACCURACY	SPECIFICITY	PRECISION(PPV)	OPTIMAL THRESHOLD	G-MEAN	N_PROTEINS_TRAINING
6	0	GO0042393_histone_binding	0.869	0.77	0.835	0.835	0.034	0.01	0.802	87
2	1	GO0005730_nucleolus	0.858	0.746	0.846	0.847	0.049	0.014	0.795	122
6	2	GO0003682_chromatin_binding	0.854	0.843	0.744	0.742	0.038	0.012	0.791	140
2	3	GO0031012_extracellular_matrix	0.84	0.718	0.801	0.802	0.033	0.01	0.759	110
2	4	GO0030312_external_encapsulating_structure	0.84	0.718	0.801	0.802	0.033	0.01	0.759	110
2	5	GO0005911_cell_cell_junction	0.824	0.745	0.779	0.779	0.03	0.01	0.762	106
1	7	GO0043087_regulation_of_GTPase_activity	0.807	0.752	0.721	0.721	0.024	0.009	0.736	105
1	8	GO0005096_GTPase_activator_activity	0.805	0.811	0.708	0.707	0.022	0.009	0.757	95
4	9	GO0015291_secondary_active_transmembrane_transporter_activity	0.805	0.794	0.723	0.723	0.025	0.011	0.758	102
5	10	GO0048018_receptor_ligand_activity	0.805	0.722	0.748	0.748	0.032	0.013	0.735	133
1	11	GO0030695_GTPase_regulator_activity	0.803	0.829	0.663	0.661	0.033	0.013	0.74	158
7	12	GO0060589_nucleoside_triphosphatase_regulator_activity	0.803	0.829	0.663	0.661	0.033	0.013	0.74	158
5	14	GO0030546_signaling_receptor_activator_activity	0.799	0.716	0.734	0.735	0.03	0.013	0.725	134
6	15	GO0000987_cis_regulatory_region_sequence_specific_DNA_binding	0.798	0.706	0.777	0.781	0.174	0.067	0.743	712
7	16	GO0034470_ncRNA_processing	0.798	0.702	0.777	0.777	0.032	0.013	0.739	121
4	17	GO0022853_active_ion_transmembrane_transporter_activity	0.797	0.765	0.709	0.709	0.023	0.01	0.736	102
6	18	GO0003700_DNA_binding_transcription_factor_activity	0.797	0.733	0.732	0.732	0.194	0.082	0.732	943
6	20	GO0000977_RNA_polymerase_II_transcription_regulatory_region_sequence_specific_DNA_binding	0.795	0.723	0.737	0.738	0.197	0.083	0.73	949
4	21	GO0006820_anion_transport	0.793	0.75	0.734	0.734	0.027	0.012	0.742	112
5	22	GO0030545_signaling_receptor_regulator_activity	0.793	0.718	0.721	0.721	0.031	0.013	0.72	142
6	23	"GO0140097_catalytic_activity,_acting_on_DNA"	0.793	0.707	0.746	0.747	0.019	0.007	0.727	82
2	28	GO0070161_anchoring_junction	0.791	0.736	0.733	0.733	0.03	0.011	0.735	129
6	29	"GO0000981_DNA_binding_transcription_factor_activity,_RNA_polymerase_II_specific"	0.79	0.707	0.744	0.747	0.186	0.078	0.727	878
3	30	GO0003779_actin_binding	0.787	0.824	0.646	0.644	0.023	0.01	0.728	119
6	31	GO0001067_transcription_regulatory_region_nucleic_acid_binding	0.787	0.737	0.707	0.704	0.187	0.083	0.72	984
6	32	GO0000976_transcription_cis_regulatory_region_binding	0.787	0.737	0.707	0.704	0.187	0.083	0.72	984
4	33	GO0005244_voltage_gated_ion_channel_activity	0.784	0.779	0.63	0.629	0.017	0.008	0.7	95
4	34	GO0022832_voltage_gated_channel_activity	0.784	0.779	0.63	0.629	0.017	0.008	0.7	95
4	36	GO0022843_voltage_gated_cation_channel_activity	0.782	0.761	0.637	0.636	0.016	0.008	0.696	92
9	37	GO0140694_non_membrane_bounded_organelle_assembly	0.778	0.714	0.71	0.71	0.021	0.008	0.712	98
4	38	GO0022804_active_transmembrane_transporter_activity	0.775	0.753	0.721	0.72	0.033	0.016	0.737	146
4	40	GO0015085_calcium_ion_transmembrane_transporter_activity	0.774	0.837	0.62	0.618	0.016	0.007	0.719	86
6	41	GO0140110_transcription_regulator_activity	0.774	0.711	0.718	0.719	0.211	0.094	0.715	1114
3	44	GO0099111_microtubule_based_transport	0.771	0.712	0.711	0.711	0.025	0.011	0.711	118
3	45	GO0010970_transport_along_microtubule	0.771	0.712	0.711	0.711	0.025	0.011	0.711	118
9	50	GO0043235_receptor_complex	0.767	0.818	0.616	0.613	0.025	0.011	0.708	137
7	51	"GO0140098_catalytic_activity,_acting_on_RNA"	0.767	0.811	0.646	0.645	0.021	0.01	0.723	111
3	52	GO0008017_microtubule_binding	0.767	0.724	0.67	0.669	0.024	0.011	0.696	127
7	53	GO0003729_mRNA_binding	0.765	0.769	0.639	0.637	0.026	0.011	0.7	143
3	56	GO0001578_microtubule_bundle_formation	0.763	0.719	0.721	0.721	0.021	0.009	0.72	96
5	58	GO0000165_MAPK_cascade	0.761	0.781	0.649	0.648	0.02	0.01	0.711	105
4	59	GO0071805_potassium_ion_transmembrane_transport	0.761	0.773	0.66	0.659	0.017	0.008	0.714	88
8	60	GO1901135_carbohydrate_derivative_metabolic_process	0.761	0.742	0.682	0.681	0.035	0.015	0.711	178
4	62	GO0042127_regulation_of_cell_population_proliferation	0.76	0.718	0.707	0.707	0.023	0.011	0.713	110
3	63	GO0005813_centrosome	0.76	0.713	0.73	0.73	0.023	0.009	0.721	101
4	66	GO0008509_anion_transmembrane_transporter_activity	0.759	0.727	0.664	0.663	0.022	0.012	0.695	121
